state,CERTIFIED_CASES,count
Alabama,83.66331805325271,1
Alaska,76.36103151862464,2
Arizona,88.16674989893225,0
Arkansas,90.32651402249017,0
California,86.24592348110602,1
Colorado,84.52053939318267,1
Connecticut,89.31407080174318,0
Delaware,87.69985665453743,1
District Of Columbia,84.82406306425332,1
Florida,86.73002364066194,1
Georgia,88.77309653527735,0
Hawaii,78.67235403892295,2
Idaho,82.82032927702218,1
Illinois,88.49208076561926,0
Indiana,84.40490234631012,1
Iowa,86.53685342253017,1
Kansas,87.36032506167464,1
Kentucky,88.56085655802237,0
Louisiana,83.39904010970174,1
Maine,89.2802450229709,0
Maryland,85.13804199036463,1
Massachusetts,86.03898334191997,1
Michigan,87.3942286830115,1
Minnesota,90.08093007969764,0
Mississippi,82.64637002341921,1
Missouri,86.74633039381841,1
Montana,81.44016227180528,1
Na,73.86836989725076,2
Nebraska,85.51053484602917,1
Nevada,81.0687432867884,1
New Hampshire,87.27968576895961,1
New Jersey,89.29358895304296,0
New Mexico,84.51543042772063,1
New York,85.77998181100605,1
North Carolina,88.51609178089069,0
North Dakota,83.87427400068329,1
Ohio,89.4637866638807,0
Oklahoma,85.66440166100415,1
Oregon,87.57881462799496,1
Pennsylvania,89.2392342321859,0
Puerto Rico,78.85674931129476,2
Rhode Island,91.11547324400445,0
South Carolina,86.0700750251373,1
South Dakota,84.9106203995794,1
Tennessee,86.11592945938132,1
Texas,86.58814499339427,1
Utah,86.28767645936665,1
Vermont,86.3472436888202,1
Virginia,87.13246320466537,1
Washington,87.63290757512378,1
West Virginia,78.46703475154271,2
Wisconsin,89.5932172262863,0
Wyoming,69.75446428571429,2
