JOB_TITLE,CERTIFIED_CASES,FAILED_CASES
PROGRAMMER ANALYST,89.4375020077741,10.5624979922259
SOFTWARE ENGINEER,84.90144514150516,15.098554858494836
BUSINESS ANALYST,88.71975806451613,11.280241935483872
SENIOR SOFTWARE ENGINEER,86.78362142041057,13.216378579589431
TECHNOLOGY LEAD - US,99.75308641975309,0.24691358024691112
ASSISTANT PROFESSOR,80.05145458143676,19.948545418563242
SENIOR CONSULTANT,92.33024133638517,7.669758663614829
DATABASE ADMINISTRATOR,89.15691569156917,10.843084308430832
PHYSICAL THERAPIST,86.8553894882708,13.144610511729198
MARKET RESEARCH ANALYST,81.1933281092578,18.806671890742194
